# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 18744
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 18744
DATA ascii
-14.41344 3.537613 -4.631059
-14.42121 3.629061 -4.640293
-14.44811 3.701582 -4.653995
-10.9241 6.040384 -4.543396
-10.84162 6.059152 -4.52048
-10.76844 6.080089 -4.500985
-10.70297 6.085075 -4.481148
-10.64409 6.093462 -4.464047
-10.60205 6.106301 -4.453102
-10.52928 6.126928 -4.433949
-13.51306 -2.663408 -4.297737
-13.49563 -2.623285 -4.289992
-13.4921 -2.581077 -4.286418
-0.1362716 -15.61518 -4.087985
-0.04092763 -15.63314 -4.092543
-0.179564 -15.58766 -4.080894
-0.0897829 -15.58843 -4.080894
-13.02053 -11.28272 -3.246087
-5.15057 -4.208193 -2.778129
4.032767 -15.85585 -2.687958
-6.97644 -8.67694 -2.638059
-56.47219 7.665442 -2.657678
3.061115 -15.44547 -2.586957
3.154599 -15.46391 -2.592956
4.270939 -15.82881 -2.30415
4.347829 -15.83865 -2.308325
-7.174723 -2.142969 -2.33653
3.763683 -15.53347 -2.246254
3.353904 -15.40823 -2.216193
3.547578 -15.43999 -2.226491
3.67326 -15.46655 -2.234146
3.302132 -15.37687 -2.210347
48.46323 -3.890746 -2.267309
48.50177 -3.732008 -2.26852
48.58708 -3.610644 -2.27206
31.43301 1.94455 -2.202212
31.5071 2.037479 -2.207793
31.58016 2.141846 -2.213373
31.66681 2.24768 -2.21993
31.76229 2.338056 -2.227045
31.82087 2.437309 -2.231649
31.89747 2.532802 -2.237509
32.00513 2.636944 -2.2456
32.04687 2.736115 -2.249088
31.82656 3.086982 -2.235974
-11.63392 -10.20267 -2.174719
29.90137 -2.826511 -2.100228
30.0506 0.03672061 -2.101344
30.07432 0.1207285 -2.103018
30.14761 0.2157316 -2.10818
30.24816 0.3432111 -2.115295
30.32221 0.4763342 -2.120597
30.39457 0.5623828 -2.125759
30.47454 0.6543131 -2.131479
30.54427 0.7464793 -2.136501
30.62398 0.8286638 -2.142221
30.65529 0.9205357 -2.144593
30.72204 1.019147 -2.149476
30.75635 1.149263 -2.152196
30.74586 1.288624 -2.151848
30.80242 1.366409 -2.156033
31.05705 1.475473 -2.17417
31.09864 1.56451 -2.177378
31.17924 1.666775 -2.183378
31.25245 1.752763 -2.188819
31.31483 1.849477 -2.193562
22.37235 2.695462 -2.10233
22.38893 2.756961 -2.10456
31.0613 2.739371 -2.180448
22.42363 2.832771 -2.108647
30.81907 2.848155 -2.164264
22.47176 2.934559 -2.114314
22.51107 3.039612 -2.119237
22.52687 3.143908 -2.122024
30.64326 3.150452 -2.15408
31.21772 3.121461 -2.193841
22.56253 3.247296 -2.126668
30.26303 3.292975 -2.128689
30.36196 3.212607 -2.134967
22.3274 3.340846 -2.106232
22.54746 3.309418 -2.126111
30.19028 3.37037 -2.124224
30.13912 3.449909 -2.121294
30.0719 3.527314 -2.117249
30.03112 3.658092 -2.115505
29.95222 3.783856 -2.11111
29.90592 3.862878 -2.108599
29.82974 3.937768 -2.103995
46.58754 4.789694 -2.184018
46.57312 4.927915 -2.184018
45.59887 5.090549 -2.13967
46.52055 5.061985 -2.182247
29.86694 -2.744386 -2.097298
29.7736 -2.646747 -2.090183
29.75151 -2.555835 -2.08809
29.69533 -2.462273 -2.083626
29.66787 -2.381809 -2.081254
29.65168 -2.242539 -2.079371
29.61588 -2.117697 -2.076232
29.55272 -2.019884 -2.071349
29.49221 -1.938191 -2.066745
29.45037 -1.842539 -2.063396
29.39764 -1.75684 -2.059351
29.34267 -1.671336 -2.055165
29.3438 -1.57893 -2.054886
29.2986 -1.407313 -2.051119
29.30226 -1.494643 -2.051677
29.35224 -1.327744 -2.054607
29.35982 -1.245941 -2.054886
29.37734 -1.159374 -2.055863
29.41436 -1.078575 -2.058234
29.38371 -0.9850262 -2.055863
29.44617 -0.9048059 -2.060048
29.4906 -0.818596 -2.062978
29.5207 -0.7369367 -2.064931
29.56863 -0.650353 -2.06814
29.62628 -0.563681 -2.072046
29.70554 -0.4822097 -2.077487
29.75678 -0.3895377 -2.080975
29.80353 -0.3173156 -2.084184
29.8622 -0.2293297 -2.08823
29.91063 -0.1409516 -2.091578
29.97077 -0.05230891 -2.095763
21.44498 0.7413936 -2.001914
21.47654 0.8325505 -2.005165
21.5075 0.9277604 -2.008417
21.53362 1.053179 -2.011389
21.56344 1.152735 -2.014641
21.61616 1.244515 -2.020028
21.65638 1.339735 -2.024301
21.68236 1.40214 -2.027088
21.71758 1.472941 -2.030804
21.75059 1.543836 -2.034334
21.79215 1.604143 -2.038607
21.81509 1.67092 -2.041208
21.8421 1.734361 -2.04418
21.89243 1.803745 -2.049382
21.91476 1.87105 -2.051983
21.97689 1.938195 -2.0583
21.99321 2.00154 -2.060343
22.03314 2.067235 -2.064616
22.06221 2.139899 -2.067961
22.11703 2.242696 -2.073998
22.16944 2.345754 -2.079851
22.23022 2.45034 -2.086539
22.27914 2.550207 -2.092112
22.32335 2.61844 -2.096943
16.87762 2.854645 -2.001741
16.88927 2.956775 -2.00511
16.89409 3.08236 -2.008246
16.90316 3.032223 -2.008246
16.91408 3.165398 -2.012311
16.94042 3.271434 -2.017654
13.84111 3.363868 -2.001866
16.94624 3.370831 -2.020558
21.33308 3.38647 -2.015198
21.65727 3.375961 -2.044923
21.99397 3.361626 -2.075763
13.86059 3.434021 -2.006876
16.83744 3.477681 -2.010569
16.95086 3.448693 -2.022881
13.86458 3.519864 -2.010355
29.66751 4.095602 -2.094229
29.7428 4.016093 -2.098693
29.60583 4.176637 -2.090741
29.55456 4.25362 -2.087951
29.46755 4.32512 -2.082649
29.35657 4.486948 -2.07665
29.40998 4.40061 -2.079441
29.27412 4.563284 -2.071767
29.20018 4.635314 -2.067442
29.07541 4.782126 -2.060467
29.1438 4.709817 -2.064373
28.9894 4.861574 -2.055444
28.70117 5.065964 -2.038005
43.85337 5.143825 -2.059081
44.73297 5.12041 -2.099702
5.130658 -16.02817 -1.968058
5.27266 -15.75383 -1.942737
12.80265 -4.536172 -1.908898
12.93458 -4.53723 -1.926434
13.05009 -4.536861 -1.941743
13.18147 -4.538743 -1.959279
13.30202 -4.541333 -1.975423
13.43644 -4.517935 -1.992263
10.71229 -4.472264 -1.907186
10.85291 -4.473193 -1.928586
10.92969 -4.431423 -1.937665
13.44586 -4.436394 -1.989897
7.828251 -4.330344 -1.901561
9.081098 -4.389974 -1.900401
9.173047 -4.353705 -1.913084
10.95682 -4.351391 -1.936908
13.45291 -4.354253 -1.987253
9.194658 -4.283632 -1.91114
9.20648 -4.239382 -1.909659
10.98482 -4.268458 -1.936205
11.01128 -4.224629 -1.937665
13.46309 -4.247499 -1.984052
9.229275 -4.153625 -1.906882
11.02469 -4.157819 -1.935827
13.47482 -4.146693 -1.981408
9.253409 -4.051699 -1.90324
11.05856 -4.059256 -1.935395
13.47927 -4.060668 -1.978485
9.273496 -3.96569 -1.900278
11.08373 -3.962749 -1.933882
13.47242 -3.951555 -1.973196
11.08665 -3.853572 -1.92837
13.45636 -3.843318 -1.966794
11.09598 -3.78819 -1.926316
11.10308 -3.733372 -1.924533
13.44298 -3.755895 -1.961645
11.11282 -3.648709 -1.921669
13.42542 -3.644294 -1.955104
11.12628 -3.547297 -1.918643
13.39525 -3.511679 -1.946197
13.40774 -3.557503 -1.949537
11.13922 -3.444628 -1.915616
13.38292 -3.444875 -1.942161
11.13356 -3.336725 -1.909564
13.37698 -3.363801 -1.938542
21.13552 -3.309735 -1.995876
11.13836 -3.248647 -1.906213
13.36344 -3.257684 -1.933115
21.13204 -3.241206 -1.994576
11.15496 -3.151287 -1.90443
13.36166 -3.154881 -1.929496
21.12134 -3.145312 -1.992254
11.17565 -3.033565 -1.902538
13.34809 -3.049803 -1.9243
11.18199 -2.966939 -1.900701
13.33466 -2.94403 -1.919197
16.26124 -2.931719 -1.932283
13.32339 -2.843349 -1.914651
16.27654 -2.862676 -1.932631
27.64491 -2.856824 -1.943415
13.30971 -2.738155 -1.909734
16.26484 -2.761228 -1.929263
27.71781 -2.791037 -1.948019
27.96473 -2.727183 -1.964761
13.3063 -2.655242 -1.90695
16.25033 -2.661106 -1.925663
20.94597 -2.660949 -1.969867
13.2897 -2.554405 -1.90194
16.25022 -2.567973 -1.92392
20.95142 -2.568814 -1.969309
16.25459 -2.468431 -1.922643
20.92773 -2.439954 -1.965686
16.27154 -2.351534 -1.922604
20.89408 -2.339954 -1.961506
16.27663 -2.23252 -1.921249
20.8716 -2.252643 -1.958534
16.26756 -2.135902 -1.918694
20.82023 -2.151561 -1.952774
16.26956 -2.042341 -1.917532
20.7894 -2.060416 -1.949059
16.29098 -1.97431 -1.919042
16.30104 -1.923586 -1.919507
20.78778 -1.910128 -1.947573
20.81641 -1.96773 -1.950731
16.33788 -1.855666 -1.922875
20.77153 -1.846502 -1.945529
16.38138 -1.741989 -1.926476
16.42124 -1.798419 -1.931818
20.76266 -1.752617 -1.94395
16.38471 -1.671527 -1.926011
20.74091 -1.66513 -1.941256
16.3714 -1.549493 -1.923069
20.75631 -1.569786 -1.941999
16.332 -1.427458 -1.917184
20.75693 -1.451457 -1.941256
16.2922 -1.307977 -1.911376
16.3006 -1.351611 -1.91277
20.75888 -1.364247 -1.940884
16.29509 -1.232381 -1.911028
20.75689 -1.269537 -1.940141
16.28695 -1.138901 -1.909285
20.76981 -1.15031 -1.940698
16.29126 -1.044943 -1.909053
20.76869 -1.059365 -1.940141
16.29899 -0.9512138 -1.909285
20.77906 -0.969012 -1.940698
16.30733 -0.8546376 -1.909634
20.7902 -0.8513671 -1.941256
16.30305 -0.7602773 -1.908588
20.81158 -0.7631258 -1.942928
16.30412 -0.6676718 -1.90824
20.86058 -0.6701373 -1.947201
16.2461 -0.544616 -1.900923
16.34158 -0.5992186 -1.912305
20.88124 -0.5796187 -1.948873
20.92459 -0.5223487 -1.952774
20.95193 -0.4608312 -1.95519
20.9751 -0.3990804 -1.957233
21.00401 -0.3409579 -1.959834
16.26041 -0.2384025 -1.901736
21.05606 -0.2498943 -1.964572
16.28035 -0.1491719 -1.903942
21.1097 -0.1621141 -1.969495
16.30379 -0.05263842 -1.906614
21.14504 -0.06824949 -1.972746
16.33064 0.04276707 -1.90975
21.18997 0.02589328 -1.976926
21.21968 0.08518299 -1.979713
16.35096 0.1398377 -1.912189
21.23126 0.1519275 -1.980828
16.37175 0.2329065 -1.914744
21.27123 0.2413422 -1.984636
16.39744 0.3033975 -1.91788
16.40639 0.3522585 -1.919042
21.32624 0.3648291 -1.989931
16.43849 0.4467595 -1.923069
21.3603 0.4586229 -1.993275
16.47878 0.5697087 -1.928218
21.37803 0.5504758 -1.995133
16.51789 0.6663204 -1.933212
21.40735 0.6428328 -1.998106
16.54269 0.7598853 -1.936581
13.4971 0.8538949 -1.900687
16.57459 0.8599515 -1.940878
13.48917 0.9574481 -1.900548
13.50044 0.9937814 -1.902496
16.58928 0.9550909 -1.943201
13.50879 1.053688 -1.904306
16.61036 1.05087 -1.946337
13.53857 1.155141 -1.909641
16.6284 1.15403 -1.949241
13.55544 1.252732 -1.913213
16.64734 1.250272 -1.952261
13.57166 1.356251 -1.916878
16.67253 1.348777 -1.956094
11.48836 1.467624 -1.902809
13.56995 1.456205 -1.918084
16.68019 1.447597 -1.957952
11.49872 1.552657 -1.906321
13.5934 1.555992 -1.922908
16.68668 1.542111 -1.959695
11.50883 1.656417 -1.91032
13.60769 1.657564 -1.926573
16.71564 1.646363 -1.964225
11.522 1.760388 -1.914968
13.62443 1.759857 -1.930702
16.73256 1.745382 -1.967361
11.53434 1.864042 -1.919615
13.64013 1.86242 -1.934785
16.75464 1.846782 -1.971194
11.53337 1.950725 -1.921777
13.63686 1.943248 -1.935898
16.77564 1.943991 -1.97491
11.53075 2.035268 -1.923722
13.64424 2.04322 -1.93896
16.79723 2.023761 -1.978511
16.80568 2.069442 -1.980137
11.54088 2.14178 -1.928478
13.64738 2.146898 -1.941604
16.81383 2.147949 -1.982228
9.848731 2.243018 -1.903117
11.52008 2.240676 -1.928154
13.66076 2.248476 -1.945733
16.82697 2.24671 -1.985248
9.854589 2.349087 -1.908733
11.51698 2.343873 -1.930964
13.67751 2.353921 -1.950511
16.84974 2.351593 -1.989545
9.851871 2.455764 -1.912992
11.52991 2.45289 -1.936692
13.69124 2.436328 -1.954408
16.8607 2.450709 -1.992449
9.853683 2.547127 -1.917559
11.53741 2.557806 -1.941556
13.71665 2.545568 -1.960671
16.86595 2.550752 -1.994772
9.857132 2.652754 -1.923267
11.54316 2.663567 -1.946311
13.72697 2.650865 -1.964846
16.86916 2.653721 -1.996979
11.54455 2.751374 -1.949824
13.74614 2.75509 -1.97032
16.87564 2.751398 -1.999534
11.55542 2.844723 -1.955174
13.75887 2.864369 -1.975145
11.56155 2.952773 -1.96047
13.76733 2.948952 -1.978763
11.57274 3.044703 -1.966036
13.78906 3.035526 -1.98433
